It;Pop;Cross;Mut;Crs1;Crs2;Crs3
30;20;0.85;0.15;5;3;4
30;40;0.85;0.15;5;3;4
30;80;0.85;0.15;5;3;4
30;200;0.85;0.15;5;3;4
30;50;0.85;0.15;5;3;4
30;70;0.88;0.15;5;3;4
30;50;0.84;0.15;5;3;4
30;50;0.85;0.15;5;3;4
