Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,1974.804179,2929.66557945,100,120,0.9,0.15,"1,2,3",1.5450144767761231
1,1917.7883120000001,2995.274306920833," "" "," "" "," "" "," "" "," "" "," "" "
2,1912.2478230000002,3225.6637804833326," "" "," "" "," "" "," "" "," "" "," "" "
3,1905.5506129999999,3312.327021104167," "" "," "" "," "" "," "" "," "" "," "" "
4,1903.545987,3329.5587954041666," "" "," "" "," "" "," "" "," "" "," "" "
5,1903.545987,3345.1338749500005," "" "," "" "," "" "," "" "," "" "," "" "
6,1903.545987,3323.283356079166," "" "," "" "," "" "," "" "," "" "," "" "
7,1903.545987,3304.9429130875005," "" "," "" "," "" "," "" "," "" "," "" "
8,1903.545987,3280.176544387499," "" "," "" "," "" "," "" "," "" "," "" "
9,1903.545987,3248.5853786999996," "" "," "" "," "" "," "" "," "" "," "" "
10,1903.545987,3205.3366291583334," "" "," "" "," "" "," "" "," "" "," "" "
11,1903.545987,3178.8540818666665," "" "," "" "," "" "," "" "," "" "," "" "
12,1903.545987,3145.3744355541667," "" "," "" "," "" "," "" "," "" "," "" "
13,1899.824781,3110.027229075," "" "," "" "," "" "," "" "," "" "," "" "
14,1892.640277,3057.6028009250003," "" "," "" "," "" "," "" "," "" "," "" "
15,1888.1842810000003,3031.132628720833," "" "," "" "," "" "," "" "," "" "," "" "
16,1888.1842810000003,2967.402867391667," "" "," "" "," "" "," "" "," "" "," "" "
17,1885.2651700000001,2921.9991909875002," "" "," "" "," "" "," "" "," "" "," "" "
18,1884.9105150000003,2870.2069528125003," "" "," "" "," "" "," "" "," "" "," "" "
19,1884.9105150000003,2824.093040104167," "" "," "" "," "" "," "" "," "" "," "" "
20,1883.625145,2770.099794066666," "" "," "" "," "" "," "" "," "" "," "" "
21,1878.754306,2736.9579970124996," "" "," "" "," "" "," "" "," "" "," "" "
22,1878.754306,2695.606346966667," "" "," "" "," "" "," "" "," "" "," "" "
23,1874.721175,2652.898237425," "" "," "" "," "" "," "" "," "" "," "" "
24,1872.9660749999998,2616.1069971833335," "" "," "" "," "" "," "" "," "" "," "" "
25,1869.944325,2579.854297908333," "" "," "" "," "" "," "" "," "" "," "" "
26,1857.1764719999996,2535.368056766666," "" "," "" "," "" "," "" "," "" "," "" "
27,1845.651265,2498.5076750208327," "" "," "" "," "" "," "" "," "" "," "" "
28,1832.7781220000004,2468.166215154167," "" "," "" "," "" "," "" "," "" "," "" "
29,1831.0225230000003,2429.5705495791667," "" "," "" "," "" "," "" "," "" "," "" "
30,1818.4727880000003,2414.2262896583334," "" "," "" "," "" "," "" "," "" "," "" "
31,1814.332903,2389.8476381416667," "" "," "" "," "" "," "" "," "" "," "" "
32,1800.8895790000001,2353.294679954167," "" "," "" "," "" "," "" "," "" "," "" "
33,1800.8895790000001,2333.2120395499996," "" "," "" "," "" "," "" "," "" "," "" "
34,1800.8895790000001,2309.9151666083326," "" "," "" "," "" "," "" "," "" "," "" "
35,1800.8895790000001,2282.153314366666," "" "," "" "," "" "," "" "," "" "," "" "
36,1800.5209560000003,2259.919901333333," "" "," "" "," "" "," "" "," "" "," "" "
37,1796.008824,2240.4356785458335," "" "," "" "," "" "," "" "," "" "," "" "
38,1796.008824,2217.0560131791667," "" "," "" "," "" "," "" "," "" "," "" "
39,1796.008824,2206.9443868916665," "" "," "" "," "" "," "" "," "" "," "" "
40,1796.008824,2198.0415114374996," "" "," "" "," "" "," "" "," "" "," "" "
41,1796.008824,2182.4449050666667," "" "," "" "," "" "," "" "," "" "," "" "
42,1794.3648060000003,2167.2305695499995," "" "," "" "," "" "," "" "," "" "," "" "
43,1794.3648060000003,2164.7454356333333," "" "," "" "," "" "," "" "," "" "," "" "
44,1793.5023070000002,2163.3302360583334," "" "," "" "," "" "," "" "," "" "," "" "
45,1792.6679930000003,2156.515490749999," "" "," "" "," "" "," "" "," "" "," "" "
46,1792.6679930000003,2145.2699963083332," "" "," "" "," "" "," "" "," "" "," "" "
47,1792.6679930000003,2135.0647985749997," "" "," "" "," "" "," "" "," "" "," "" "
48,1792.6679930000003,2132.2639677333327," "" "," "" "," "" "," "" "," "" "," "" "
49,1792.6679930000003,2123.9871116666664," "" "," "" "," "" "," "" "," "" "," "" "
50,1792.6679930000003,2119.0610869666666," "" "," "" "," "" "," "" "," "" "," "" "
51,1792.0212890000003,2112.0039266500007," "" "," "" "," "" "," "" "," "" "," "" "
52,1792.0212890000003,2099.1907610250005," "" "," "" "," "" "," "" "," "" "," "" "
53,1792.0212890000003,2096.82754535," "" "," "" "," "" "," "" "," "" "," "" "
54,1790.6959150000002,2086.504058775," "" "," "" "," "" "," "" "," "" "," "" "
55,1790.6959150000002,2086.741206050001," "" "," "" "," "" "," "" "," "" "," "" "
56,1790.6959150000002,2083.4231945583338," "" "," "" "," "" "," "" "," "" "," "" "
57,1790.6959150000002,2083.8312049083343," "" "," "" "," "" "," "" "," "" "," "" "
58,1790.6959150000002,2080.2809699750005," "" "," "" "," "" "," "" "," "" "," "" "
59,1790.6959150000002,2083.5347205416674," "" "," "" "," "" "," "" "," "" "," "" "
60,1790.6959150000002,2078.637222550001," "" "," "" "," "" "," "" "," "" "," "" "
61,1790.6959150000002,2080.1666981500007," "" "," "" "," "" "," "" "," "" "," "" "
62,1790.6959150000002,2074.173915350001," "" "," "" "," "" "," "" "," "" "," "" "
63,1786.431765,2074.112525016668," "" "," "" "," "" "," "" "," "" "," "" "
64,1786.431765,2073.263111608335," "" "," "" "," "" "," "" "," "" "," "" "
65,1786.431765,2067.6132051333348," "" "," "" "," "" "," "" "," "" "," "" "
66,1786.431765,2064.4715250916684," "" "," "" "," "" "," "" "," "" "," "" "
67,1786.431765,2068.776018800002," "" "," "" "," "" "," "" "," "" "," "" "
68,1786.431765,2064.295205491668," "" "," "" "," "" "," "" "," "" "," "" "
69,1786.431765,2057.4422836500016," "" "," "" "," "" "," "" "," "" "," "" "
70,1786.431765,2053.0378105083355," "" "," "" "," "" "," "" "," "" "," "" "
71,1786.431765,2052.8072516416682," "" "," "" "," "" "," "" "," "" "," "" "
72,1786.431765,2054.365551758335," "" "," "" "," "" "," "" "," "" "," "" "
73,1786.431765,2056.865166725001," "" "," "" "," "" "," "" "," "" "," "" "
74,1786.431765,2056.878841433335," "" "," "" "," "" "," "" "," "" "," "" "
75,1786.431765,2055.8041775833344," "" "," "" "," "" "," "" "," "" "," "" "
76,1786.431765,2056.2129275583343," "" "," "" "," "" "," "" "," "" "," "" "
77,1785.859629,2054.9400447666676," "" "," "" "," "" "," "" "," "" "," "" "
78,1785.859629,2053.333272775001," "" "," "" "," "" "," "" "," "" "," "" "
79,1785.859629,2051.3407844375006," "" "," "" "," "" "," "" "," "" "," "" "
80,1785.859629,2051.6902856166676," "" "," "" "," "" "," "" "," "" "," "" "
81,1785.859629,2050.9997559500007," "" "," "" "," "" "," "" "," "" "," "" "
82,1785.859629,2049.2266190333344," "" "," "" "," "" "," "" "," "" "," "" "
83,1785.859629,2045.8321582000008," "" "," "" "," "" "," "" "," "" "," "" "
84,1785.859629,2043.4202219583342," "" "," "" "," "" "," "" "," "" "," "" "
85,1785.859629,2039.434519583335," "" "," "" "," "" "," "" "," "" "," "" "
86,1785.859629,2045.9583632750007," "" "," "" "," "" "," "" "," "" "," "" "
87,1785.859629,2041.6022831250007," "" "," "" "," "" "," "" "," "" "," "" "
88,1785.859629,2041.6411052500011," "" "," "" "," "" "," "" "," "" "," "" "
89,1785.859629,2039.887466683334," "" "," "" "," "" "," "" "," "" "," "" "
90,1785.859629,2040.4413483833346," "" "," "" "," "" "," "" "," "" "," "" "
91,1785.859629,2037.973143333334," "" "," "" "," "" "," "" "," "" "," "" "
92,1785.859629,2038.3216091833342," "" "," "" "," "" "," "" "," "" "," "" "
93,1785.859629,2038.9297992916677," "" "," "" "," "" "," "" "," "" "," "" "
94,1785.859629,2040.0081429750012," "" "," "" "," "" "," "" "," "" "," "" "
95,1785.859629,2038.7353014583343," "" "," "" "," "" "," "" "," "" "," "" "
96,1785.859629,2040.4256777833348," "" "," "" "," "" "," "" "," "" "," "" "
97,1785.859629,2041.6476394583344," "" "," "" "," "" "," "" "," "" "," "" "
98,1785.859629,2036.944251041668," "" "," "" "," "" "," "" "," "" "," "" "
99,1785.859629,2038.6975268750011," "" "," "" "," "" "," "" "," "" "," "" "
