Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
25,1854.8992430000005,2685.5703473125," "" "," "" "," "" "," "" "," "" "," "" "
26,1846.7087380000005,2664.8370403125," "" "," "" "," "" "," "" "," "" "," "" "
27,1841.130876,2651.8055281916663," "" "," "" "," "" "," "" "," "" "," "" "
28,1825.0532449999998,2632.431730162499," "" "," "" "," "" "," "" "," "" "," "" "
29,1817.257314,2617.672857191667," "" "," "" "," "" "," "" "," "" "," "" "
30,1799.829174,2601.7771647250006," "" "," "" "," "" "," "" "," "" "," "" "
31,1799.829174,2581.5135547500004," "" "," "" "," "" "," "" "," "" "," "" "
32,1787.317253,2570.6999289875," "" "," "" "," "" "," "" "," "" "," "" "
33,1785.927913,2552.87834335," "" "," "" "," "" "," "" "," "" "," "" "
34,1781.1633889999998,2541.127873195833," "" "," "" "," "" "," "" "," "" "," "" "
35,1766.940984,2534.2481294083327," "" "," "" "," "" "," "" "," "" "," "" "
36,1766.940984,2512.6892323624998," "" "," "" "," "" "," "" "," "" "," "" "
37,1766.940984,2502.9363983083335," "" "," "" "," "" "," "" "," "" "," "" "
38,1765.6496939999997,2502.8526112625004," "" "," "" "," "" "," "" "," "" "," "" "
39,1765.6496939999997,2510.780571416667," "" "," "" "," "" "," "" "," "" "," "" "
40,1765.6496939999997,2509.408427641666," "" "," "" "," "" "," "" "," "" "," "" "
41,1764.4830900000002,2499.588016254166," "" "," "" "," "" "," "" "," "" "," "" "
42,1764.4830900000002,2502.2408641875," "" "," "" "," "" "," "" "," "" "," "" "
43,1747.6346100000003,2488.580089533333," "" "," "" "," "" "," "" "," "" "," "" "
44,1739.9169160000001,2486.1840380958333," "" "," "" "," "" "," "" "," "" "," "" "
45,1737.9439120000002,2481.2171562416665," "" "," "" "," "" "," "" "," "" "," "" "
46,1737.9439120000002,2471.4600807625," "" "," "" "," "" "," "" "," "" "," "" "
47,1737.9439120000002,2469.583545066667," "" "," "" "," "" "," "" "," "" "," "" "
48,1737.9439120000002,2459.1702896583333," "" "," "" "," "" "," "" "," "" "," "" "
49,1737.5034810000002,2451.69253585," "" "," "" "," "" "," "" "," "" "," "" "
50,1737.5034810000002,2446.414265258333," "" "," "" "," "" "," "" "," "" "," "" "
51,1735.3451909999999,2439.410556316666," "" "," "" "," "" "," "" "," "" "," "" "
52,1735.3451909999999,2429.985312720833," "" "," "" "," "" "," "" "," "" "," "" "
53,1734.0668369999999,2434.0489841541666," "" "," "" "," "" "," "" "," "" "," "" "
54,1734.0668369999999,2427.6303833583333," "" "," "" "," "" "," "" "," "" "," "" "
55,1734.0668369999999,2422.298366025," "" "," "" "," "" "," "" "," "" "," "" "
56,1734.0668369999999,2424.4504438083336," "" "," "" "," "" "," "" "," "" "," "" "
57,1734.0668369999999,2415.473020649999," "" "," "" "," "" "," "" "," "" "," "" "
58,1734.0668369999999,2418.9833944499997," "" "," "" "," "" "," "" "," "" "," "" "
59,1734.0668369999999,2428.8266261916665," "" "," "" "," "" "," "" "," "" "," "" "
60,1734.0668369999999,2420.796087841667," "" "," "" "," "" "," "" "," "" "," "" "
61,1716.951337,2418.0430791500007," "" "," "" "," "" "," "" "," "" "," "" "
62,1716.951337,2417.932455208333," "" "," "" "," "" "," "" "," "" "," "" "
63,1716.466991,2416.7255744833337," "" "," "" "," "" "," "" "," "" "," "" "
64,1715.688191,2397.544013841666," "" "," "" "," "" "," "" "," "" "," "" "
65,1715.688191,2398.6518806750005," "" "," "" "," "" "," "" "," "" "," "" "
66,1715.688191,2396.0691468333325," "" "," "" "," "" "," "" "," "" "," "" "
67,1715.688191,2395.6786174666663," "" "," "" "," "" "," "" "," "" "," "" "
68,1715.4657909999999,2402.5355988583333," "" "," "" "," "" "," "" "," "" "," "" "
69,1711.702985,2397.8624799166664," "" "," "" "," "" "," "" "," "" "," "" "
70,1711.702985,2391.5085258416666," "" "," "" "," "" "," "" "," "" "," "" "
71,1711.702985,2394.631461941666," "" "," "" "," "" "," "" "," "" "," "" "
72,1711.702985,2385.1491537666666," "" "," "" "," "" "," "" "," "" "," "" "
73,1709.866385,2386.273707283333," "" "," "" "," "" "," "" "," "" "," "" "
74,1707.8954600000002,2394.197994741666," "" "," "" "," "" "," "" "," "" "," "" "
75,1702.76656,2403.003780675," "" "," "" "," "" "," "" "," "" "," "" "
76,1702.76656,2397.398082254167," "" "," "" "," "" "," "" "," "" "," "" "
77,1702.76656,2393.294285416666," "" "," "" "," "" "," "" "," "" "," "" "
78,1698.7383700000003,2395.0260096499997," "" "," "" "," "" "," "" "," "" "," "" "
79,1698.7383700000003,2387.9761488916674," "" "," "" "," "" "," "" "," "" "," "" "
80,1698.7383700000003,2392.5469884291665," "" "," "" "," "" "," "" "," "" "," "" "
81,1698.7383700000003,2392.1259916416666," "" "," "" "," "" "," "" "," "" "," "" "
82,1698.7383700000003,2383.011774775," "" "," "" "," "" "," "" "," "" "," "" "
83,1698.7383700000003,2382.6853240333335," "" "," "" "," "" "," "" "," "" "," "" "
84,1698.7383700000003,2382.4700253583333," "" "," "" "," "" "," "" "," "" "," "" "
85,1698.7383700000003,2388.8352088," "" "," "" "," "" "," "" "," "" "," "" "
86,1698.7383700000003,2381.4419333083324," "" "," "" "," "" "," "" "," "" "," "" "
87,1698.7383700000003,2376.6913554583334," "" "," "" "," "" "," "" "," "" "," "" "
88,1698.7383700000003,2385.126717033333," "" "," "" "," "" "," "" "," "" "," "" "
89,1698.7383700000003,2383.4306314916666," "" "," "" "," "" "," "" "," "" "," "" "
90,1698.7383700000003,2386.388647558333," "" "," "" "," "" "," "" "," "" "," "" "
91,1693.917985,2373.410215883333," "" "," "" "," "" "," "" "," "" "," "" "
92,1693.917985,2376.6807616125," "" "," "" "," "" "," "" "," "" "," "" "
93,1693.8537769999998,2381.0783622958324," "" "," "" "," "" "," "" "," "" "," "" "
94,1693.8537769999998,2375.1121334166664," "" "," "" "," "" "," "" "," "" "," "" "
95,1693.8537769999998,2379.448386375," "" "," "" "," "" "," "" "," "" "," "" "
96,1693.8537769999998,2375.089219116666," "" "," "" "," "" "," "" "," "" "," "" "
97,1693.8537769999998,2375.768357958333," "" "," "" "," "" "," "" "," "" "," "" "
98,1693.8537769999998,2373.270249733333," "" "," "" "," "" "," "" "," "" "," "" "
99,1693.8537769999998,2378.051403275," "" "," "" "," "" "," "" "," "" "," "" "
