Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,2014.7240229999995,2904.188823191667,100,120,0.9,0.15,"1,2,3",1.7561349272727966
1,1921.8340859999996,2937.940422525001," "" "," "" "," "" "," "" "," "" "," "" "
2,1917.3663819999997,3095.861167608333," "" "," "" "," "" "," "" "," "" "," "" "
3,1917.3663819999997,3168.243219029166," "" "," "" "," "" "," "" "," "" "," "" "
4,1917.3663819999997,3178.9899434249996," "" "," "" "," "" "," "" "," "" "," "" "
5,1913.9589109999997,3173.9676628000007," "" "," "" "," "" "," "" "," "" "," "" "
6,1911.5039409999997,3168.6988805416668," "" "," "" "," "" "," "" "," "" "," "" "
7,1910.142805,3147.5220441333336," "" "," "" "," "" "," "" "," "" "," "" "
8,1910.142805,3122.751097979167," "" "," "" "," "" "," "" "," "" "," "" "
9,1910.142805,3090.7370496041663," "" "," "" "," "" "," "" "," "" "," "" "
10,1910.142805,3072.0257588333334," "" "," "" "," "" "," "" "," "" "," "" "
11,1910.142805,3043.8836747749997," "" "," "" "," "" "," "" "," "" "," "" "
12,1903.476215,3014.272181725," "" "," "" "," "" "," "" "," "" "," "" "
13,1899.2827009999996,2993.3605407249993," "" "," "" "," "" "," "" "," "" "," "" "
14,1899.2827009999996,2958.3146728166666," "" "," "" "," "" "," "" "," "" "," "" "
15,1899.2827009999996,2923.4873978291666," "" "," "" "," "" "," "" "," "" "," "" "
16,1882.8232039999998,2896.925089408333," "" "," "" "," "" "," "" "," "" "," "" "
17,1882.8232039999998,2866.5550869999997," "" "," "" "," "" "," "" "," "" "," "" "
18,1879.393431,2843.0180652958325," "" "," "" "," "" "," "" "," "" "," "" "
19,1870.986995,2823.4145899375," "" "," "" "," "" "," "" "," "" "," "" "
20,1870.986995,2799.7607087125007," "" "," "" "," "" "," "" "," "" "," "" "
21,1869.427809,2781.341083320833," "" "," "" "," "" "," "" "," "" "," "" "
22,1869.427809,2755.612231741666," "" "," "" "," "" "," "" "," "" "," "" "
23,1861.1856020000007,2732.189433895833," "" "," "" "," "" "," "" "," "" "," "" "
24,1861.1856020000007,2708.8446444166657," "" "," "" "," "" "," "" "," "" "," "" "
