Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points
0,2110.860826,2960.8826418666667,50,30,0.9,0.1,"1,2,3"
1,2051.610154,2796.1622045999998," "" "," "" "," "" "," "" "," "" "
2,1989.9619439999994,2680.591916233333," "" "," "" "," "" "," "" "," "" "
3,1915.0659139999996,2604.783458466666," "" "," "" "," "" "," "" "," "" "
4,1903.0887539999997,2569.279667666667," "" "," "" "," "" "," "" "," "" "
5,1876.6064359999996,2533.204856133333," "" "," "" "," "" "," "" "," "" "
6,1876.6064359999996,2471.372785233333," "" "," "" "," "" "," "" "," "" "
7,1834.9398779999997,2398.2296361999997," "" "," "" "," "" "," "" "," "" "
8,1829.5905459999994,2329.8014928000002," "" "," "" "," "" "," "" "," "" "
9,1829.5905459999994,2272.7200214," "" "," "" "," "" "," "" "," "" "
10,1829.5905459999994,2240.3182778," "" "," "" "," "" "," "" "," "" "
11,1822.4807439999997,2193.676099," "" "," "" "," "" "," "" "," "" "
12,1822.4807439999997,2143.4398969333333," "" "," "" "," "" "," "" "," "" "
13,1814.7363239999995,2120.458507866667," "" "," "" "," "" "," "" "," "" "
14,1814.7363239999995,2107.535096833333," "" "," "" "," "" "," "" "," "" "
15,1811.1855359999997,2082.912150666666," "" "," "" "," "" "," "" "," "" "
16,1808.6757160000002,2056.047380866666," "" "," "" "," "" "," "" "," "" "
17,1800.276516,2046.7950740666668," "" "," "" "," "" "," "" "," "" "
18,1800.276516,2027.1169093999997," "" "," "" "," "" "," "" "," "" "
19,1800.022716,2008.8356097999997," "" "," "" "," "" "," "" "," "" "
20,1797.657948,1991.5033485333329," "" "," "" "," "" "," "" "," "" "
21,1797.657948,1988.375047333333," "" "," "" "," "" "," "" "," "" "
22,1797.657948,1976.3416561999998," "" "," "" "," "" "," "" "," "" "
23,1797.657948,1976.1475403333334," "" "," "" "," "" "," "" "," "" "
24,1797.657948,1981.1707317333335," "" "," "" "," "" "," "" "," "" "
25,1797.657948,1983.1716206," "" "," "" "," "" "," "" "," "" "
26,1797.657948,1982.8113336666665," "" "," "" "," "" "," "" "," "" "
27,1797.657948,1973.6806378666668," "" "," "" "," "" "," "" "," "" "
28,1797.657948,1968.1066567333332," "" "," "" "," "" "," "" "," "" "
29,1797.657948,1963.723799," "" "," "" "," "" "," "" "," "" "
30,1797.657948,1964.10415," "" "," "" "," "" "," "" "," "" "
31,1797.657948,1961.3672894," "" "," "" "," "" "," "" "," "" "
32,1797.657948,1962.5002914000002," "" "," "" "," "" "," "" "," "" "
33,1797.657948,1965.9812470000002," "" "," "" "," "" "," "" "," "" "
34,1797.657948,1960.4764849333333," "" "," "" "," "" "," "" "," "" "
35,1797.657948,1957.3191396666666," "" "," "" "," "" "," "" "," "" "
36,1797.657948,1953.3348589333334," "" "," "" "," "" "," "" "," "" "
37,1797.222348,1958.3909403999999," "" "," "" "," "" "," "" "," "" "
38,1797.222348,1959.8807692666674," "" "," "" "," "" "," "" "," "" "
39,1797.222348,1954.609373," "" "," "" "," "" "," "" "," "" "
40,1797.222348,1958.0911820000001," "" "," "" "," "" "," "" "," "" "
41,1797.222348,1958.987544666667," "" "," "" "," "" "," "" "," "" "
42,1797.222348,1951.8078014000002," "" "," "" "," "" "," "" "," "" "
43,1797.222348,1956.1485550000004," "" "," "" "," "" "," "" "," "" "
44,1797.222348,1951.7879020666667," "" "," "" "," "" "," "" "," "" "
45,1797.222348,1956.0717553999998," "" "," "" "," "" "," "" "," "" "
46,1797.222348,1951.5851296," "" "," "" "," "" "," "" "," "" "
47,1797.222348,1957.3208208666667," "" "," "" "," "" "," "" "," "" "
48,1797.222348,1954.420625," "" "," "" "," "" "," "" "," "" "
49,1797.222348,1957.4074440666668," "" "," "" "," "" "," "" "," "" "
